"USER";"TYPE";"BANKL";"BANKA";"NAME1";"NAME2";"NAME3";"NAME4";"BNKLZ";"REGION";"POST_CODE1";"CITI1";"CITI2";"STREET";"HOUSE_NUM1";"HOUSE_NUM2";"BUILDING";"FLOOR";"ROOMNUMBER";"STRAS";"BRNCH";"SWIFT";"TEL_NUM1";"BANK_DELETE";"fc__uuid"
;"банки";"040173742";"ФИЛИАЛ ОАО ""УРАЛСИБ"" В Г.БАРНАУЛ";"ФИЛИАЛ ОАО ""УРАЛСИБ"" В Г.БАРНАУЛ";"";"";"";"040173742";"22";"656011";"Г. БАРНАУЛ";;"ПР.ЛЕНИНА";"147В";;;;;"ПР.ЛЕНИНА,147В";"30101810900000000742";;"(3852)200000,200034";"X";"82caea9f-be35-4303-ac79-9940f88ecd13"
;"банки";"040173743";"ОАО КБ ""ФОРБАНК""";"ОАО КБ ""ФОРБАНК""";"";"";"";"040173743";"22";"656056";"Г. БАРНАУЛ";"";"УЛ.ГОГОЛЯ/УЛ.ГОРЬКОГО М.";"36/29";"";"";"";"";"УЛ.ГОГОЛЯ/УЛ.ГОРЬКОГО М.,36/29";"30101810200000000743";"";"(3852)632474,631810";"X";"25623df8-7068-4a77-bbf9-10b0be6f7872"
;"банки";"040173745";"""СИБСОЦБАНК"" ООО";"""СИБСОЦБАНК"" ООО";"";"";"";"040173745";"22";"656038";"Г. БАРНАУЛ";"";"УЛ.К.МАРКСА";"1";"";"";"";"";"УЛ.К.МАРКСА,1";"30101810800000000745";"SISNRU55XXX";"(3852)370201,370209";"";"910cfff6-89f7-426c-ac39-2f028bc2f085"
"Бондарев 20170929 upd";"банки";"040173749";"КУ ООО ""КБ ""ТАЛЬМЕНКА-БАНК"" - ГК ""АСВ""";"КУ ООО ""КБ ""ТАЛЬМЕНКА-БАНК"" - ГК ""АСВ""";;;;"040173749";"01";"109240";"Г. МОСКВА";;"УЛ.ВЫСОЦКОГО";"4";;;;;"УЛ.ВЫСОЦКОГО,4";"30101810000000000749";;"(495)9612526,7253147";;
;"банки";"040173753";"Ф-Л ГПБ (ОАО) В Г.БАРНАУЛЕ";"Ф-Л ГПБ (ОАО) В Г.БАРНАУЛЕ";"";"";"";"040173753";"22";"656049";"Г. БАРНАУЛ";"";"УЛ.ПАРТИЗАНСКАЯ";"92";"";"";"";"";"УЛ.ПАРТИЗАНСКАЯ,92";"30101810300000000753";"GAZPRUMM030";"(3852)539100,539102";"X";"218b07b7-ffaf-4b9a-912c-5aacdc5a175c"
"Бондарев 20160530 upd";"банки";"040173754";"КУ АО ""ЗЕРНОБАНК""- ГК ""АСВ""";"КУ АО ""ЗЕРНОБАНК""- ГК ""АСВ""";;;;"040173754";"22";"656056";"Г. БАРНАУЛ";;"УЛ.АНАТОЛИЯ";"6";;;;;"УЛ.АНАТОЛИЯ,6";"30101810600000000754";;"(3852)244424";;"9b0b1800-f8e8-4efe-bb2d-1b33b4d9c3e7"
;"банки";"040173755";"БФ ОАО ""МДМ БАНК""";"БФ ОАО ""МДМ БАНК""";"";"";"";"040173755";"22";"656002";"Г. БАРНАУЛ";;"УЛ.ПРОФИНТЕРНА";"59";;;;;"УЛ.ПРОФИНТЕРНА,59";"30101810900000000755";;"(3852)364243";"X";"9c1231ab-0fa3-4f33-8c34-fbe8af251a0b"
;"банки";"040173756";"СИБИРСКИЙ ФИЛИАЛ АО КБ ""ФОРБАНК""";"СИБИРСКИЙ ФИЛИАЛ АО КБ ""ФОРБАНК""";"";"";"";"040173756";"22";"656056";"Г. БАРНАУЛ";;"УЛ.ГОГОЛЯ";"36";"";;"";"";"УЛ.ГОГОЛЯ,36/УЛ.М.ГОРЬКОГО,29";"30101810101730000756";;"(3852)637778,638484";"";"cc41a332-135c-4361-9cad-5541c612eb5d"
"Бондарев 20180926 del";"банки";"040173757";"ФИЛИАЛ ""АЛТАЙСКИЙ"" АО КБ ""АГРОПРОМКРЕДИТ""";"ФИЛИАЛ ""АЛТАЙСКИЙ"" АО КБ ""АГРОПРОМКРЕДИТ";"""";"";"";"040173757";"22";"656015";"Г. БАРНАУЛ";"";"УЛ.БРЕСТСКАЯ";"11";"";"";"";"";"УЛ.БРЕСТСКАЯ,11";"30101810500000000757";"";"(3852)367293,365999";"X";"68482db6-2cb7-4499-94fc-f55b6d0150dd"
;"банки";"040173762";"ФКБ ""ЮНИАСТРУМ БАНК"" (ООО) В БАРНАУЛЕ";"ФКБ ""ЮНИАСТРУМ БАНК"" (ООО) В БАРНАУЛЕ";"";"";"";"040173762";"22";"656049";"Г. БАРНАУЛ";;"ПР.КРАСНОАРМЕЙСКИЙ";"36";;;;;"ПР.КРАСНОАРМЕЙСКИЙ,36";"30101810100000000762";;"(3852)658755,658776";"X";"172a5dd7-903f-4b9c-b252-d2ee9219cf38"
;"банки";"040173765";"ФИЛИАЛ ОАО БАНК ВТБ В Г.БАРНАУЛЕ";"ФИЛИАЛ ОАО БАНК ВТБ В Г.БАРНАУЛЕ";"";"";"";"040173765";"22";"656043";"Г. БАРНАУЛ";;"ПР.КРАСНОАРМЕЙСКИЙ";"10";;;;;"ПР.КРАСНОАРМЕЙСКИЙ,10";"30101810000000000765";;"(3852)399161,399156";"X";"84f9ffc2-7f7b-430c-b18f-7d851767efe2"
"блокировка 20160627";"банки";"040173766";"БАРНАУЛЬСКИЙ ФИЛИАЛ АО ""ТУСАРБАНК""";"БАРНАУЛЬСКИЙ ФИЛИАЛ АО ""ТУСАРБАНК""";"";"";"";"040173766";"22";"656049";"Г. БАРНАУЛ";"";"ПР.СОЦИАЛИСТИЧЕСКИЙ";"71";"";"";"";"";"ПР.СОЦИАЛИСТИЧЕСКИЙ,71";"30101810300000000766";"";"(3852)366525";"X";"d98c1868-23b3-40ed-a86c-73e56071a735"
;"банки";"040173767";"АЛТАЙСКИЙ Ф-Л ОАО ""ПРОМСВЯЗЬБАНК""";"АЛТАЙСКИЙ Ф-Л ОАО ""ПРОМСВЯЗЬБАНК""";"";"";"";"040173767";"22";"656049";"Г. БАРНАУЛ";;"ПР.КРАСНОАРМЕЙСКИЙ";"15";;;;;"ПР.КРАСНОАРМЕЙСКИЙ,15";"30101810600000000767";;"(3852)353010,659088";"X";"4efe29fe-7faf-4865-9b01-7a844e5aa9d8"
;"банки";"040173771";"ООО КБ ""АЛТАЙКАПИТАЛБАНК""";"ООО КБ ""АЛТАЙКАПИТАЛБАНК""";"";"";"";"040173771";"22";"656043";"Г. БАРНАУЛ";"";"УЛ.Л.ТОЛСТОГО";"38А";"";"";"";"";"УЛ.Л.ТОЛСТОГО,38А";"30101810900000000771";"";"(3852)636214";"";"8caf057e-db70-4d43-8329-fc7e9e81cf31"
;"банки";"040173773";"АЛТАЙСКИЙ ФИЛИАЛ ОАО АКБ ""РОСБАНК""";"АЛТАЙСКИЙ ФИЛИАЛ ОАО АКБ ""РОСБАНК""";"";"";"";"040173773";"22";"656031";"Г. БАРНАУЛ";;"ПР.СТРОИТЕЛЕЙ";"43";;;;;"ПР.СТРОИТЕЛЕЙ,43";"30101810500000000773";;"(3852)625095";"X";"baed14a9-421c-456d-828b-38ad161b2619"
;"банки";"040173774";"ФИЛИАЛ ОАО ""ТРАНСКРЕДИТБАНК"" В Г. БАРНАУЛЕ";"ФИЛИАЛ ОАО ""ТРАНСКРЕДИТБАНК"" В Г. БАРНАУ";"ЛЕ";"";"";"040173774";"22";"656015";"Г. БАРНАУЛ";;"ПР.ЛЕНИНА";"68";;;;;"ПР.ЛЕНИНА,68";"30101810800000000774";;"(3852)289450";"X";"f6a8e832-b7e9-4646-a162-c786c776caf8"
;"банки";"040173775";"ФИЛИАЛ ""АЛТАЙ"" ЗАО ""МОССТРОЙЭКОНОМБАНК""";"ФИЛИАЛ ""АЛТАЙ"" ЗАО ""МОССТРОЙЭКОНОМБАНК""";"";"";"";"040173775";"22";"656049";"Г. БАРНАУЛ";;"УЛ.АНАТОЛИЯ";"99";;;;;"УЛ.АНАТОЛИЯ,99";"30101810100000000775";;"(3852)354576,354573";"X";"3d95f293-011b-44e9-be2f-c67d4fbdd47c"
;"банки";"040173779";"БАРНАУЛЬСКИЙ ФИЛИАЛ ""НОМОС-БАНКА"" (ОАО)";"БАРНАУЛЬСКИЙ ФИЛИАЛ ""НОМОС-БАНКА"" (ОАО)";"";"";"";"040173779";"22";"656011";"Г. БАРНАУЛ";;"ПР.ЛЕНИНА";"119";;;;;"ПР.ЛЕНИНА,119";"30101810300000000779";;"(3852)200720,200724";"X";"bcff3e20-8b4b-4e38-b70f-8fdb25f02e53"
;"банки";"040173788";"ФИЛИАЛ ""АЛТАЙСКИЙ"" ОАО БАНК ""ЗАПАДНЫЙ""";"ФИЛИАЛ ""АЛТАЙСКИЙ"" ОАО БАНК ""ЗАПАДНЫЙ""";"";"";"";"040173788";"22";"656002";"Г. БАРНАУЛ";;"ПР.КАЛИНИНА";"18";;;;;"ПР.КАЛИНИНА,18";"30101810100000000788";;"(3852)229154,229159";"X";"8de94a6b-d893-4fbd-88bb-8455e129868b"
